id,author,text,likeCount,publishedAt
"UgykiLqN_GbTtkqC9lZ4AaABAg","@prototype9000","Eye contact is not necessary",0,"2026-05-11T16:26:45Z"
"UgxuQ5r4-U-e360OEU54AaABAg","@JavierDiaz-yb8sr","You just explained a Libra",0,"2026-05-11T05:35:12Z"
"UgxgUj88U4s7V7K_UHR4AaABAg","@MichaelDukakus","Me. I watch the world/people. I can feel their positive n negative energy. They are all collective thinkers wanting to be appreciated and accepted by others. There's no individualism on the majority of people today. Most are depressed looking for someone to complete them. People today are weaker physically and mentally.",0,"2026-05-11T04:30:15Z"
"UgzgHHOtJhK1AWuhro94AaABAg","@big-john1992",".......................................................…............................",0,"2026-05-11T03:02:26Z"
"UgxFCygjFNnrlXcTsUl4AaABAg","@Bandit93gt","Your last few statements hit me the hardest. Thank you for these videos.",0,"2026-05-10T22:56:16Z"
"UgzbjQQgajxmPA6DtyB4AaABAg","@MattWeaver-bc9dr","This is me. 100%.",0,"2026-05-10T21:52:59Z"
"Ugxp6z47FhBiGeLZmuF4AaABAg","@epicnamehere100","I've worked on my presentation a lot to make others feel more at ease. I smile often to show others it's alright, and I keep a loose posture when I walk. I'm both physically intimidating and psychologically lol. When I was a manager people used to come up to me and explain themselves all the time. And they would give me anxious looks while I listened and quietly stared",0,"2026-05-10T21:13:50Z"
"Ugx6xPx8I-bBEhhwXFx4AaABAg","@jackbates3ify","😂  makes an AI Video to make everyone feel Special 😬",0,"2026-05-10T20:13:34Z"
"UgyP8-6DflhrF_CttDJ4AaABAg","@AlexDicklich-z7p","Don't worry the older you get the less you care, I was always polite to everybody in the past but that doesn't work I now treat them the way they treat me even if they are rude or aggressive,",0,"2026-05-10T19:58:00Z"
"UgyErWW2odC5Vdz-qZJ4AaABAg","@FluentHeartTales","Some people really shift the whole room",0,"2026-05-10T15:01:12Z"
"UgyOHYAkoqAB7xbutqB4AaABAg","@CLJ7696","If you're on the quieter side but carry yourself confidently, that definitely throws alot of people off...can't tell you how many times someone thought I was stuck up or super serious until they got to know me.",0,"2026-05-10T03:57:28Z"
"UgztK52W-QOPKLp7Uo14AaABAg","@JohnDeHaanSeekerOfTruth365","When I was a Patrol Officer, It always pissed off, the patrol Sergeants! Because; when I arrived on scene, Citizens naturally gravitated towards me! It's called... Command Presence! I had it! They never did! That was/is a 100% FACT!!!",0,"2026-05-09T20:39:39Z"
"UgwhqR7DISux7X-d6wB4AaABAg","@justicedaniels9064","I've often wondered,  why people treat me the way they do.  Now I know,  I am an intimidating dude and I don't intend to be......😮😮😮",0,"2026-05-09T19:40:31Z"
"Ugy3yeSmHn4fIZjLA3B4AaABAg","@JefferyRiggin","yep",0,"2026-05-09T19:39:29Z"
"UgzBO20yDvXq897SfAl4AaABAg","@lancetawanda5904","the 7th 1",0,"2026-05-09T14:15:34Z"
"Ugz5H-JXaUYD38U27p54AaABAg","@MatthiasDesmond","I am glad I intimate people without proving anything",0,"2026-05-09T11:14:20Z"
"UgwCMGIlFBx3i21v2-14AaABAg","@MatthiasDesmond","I am glad I intimate people without proving anything",0,"2026-05-09T11:14:19Z"
"Ugw539Om8lX2RF3K_Np4AaABAg","@prpapy07","Most signs felt like me. Except the eye contact one.  And the “you just forgot to pretend” that stood out a lot.",0,"2026-05-09T10:52:13Z"
"UgxMZTdx5pNFUKDPbxt4AaABAg","@ZFrameDumpsterDiver","I got all of these and I feel scared but great at the same time, scared in terms that I unintentionally push people away but great in the stance that those who i surround myself with are actively observing, something that people should never be is complicit ignorance, dont want people to think I am wasting time but that i am also thinking about them and how I could help them improve, unfortunately the people I run into make it blatantly obvious that they haven't ran into a person who shows compassion without trade if you know how I mean, which is what scares them because its like running into a person who appears as a void due to that unknown but secretly holds keys never thought of, sorry I didnt mean to boast",0,"2026-05-09T03:07:26Z"
"UgzIHIUSHUTm4uqCNYl4AaABAg","@laurena6363","I dont forget to pretend. I choose not to!",0,"2026-05-09T00:42:46Z"
"Ugx9NT7V4ZOCl3UMx6B4AaABAg","@DavidAmaro-u7z","So basically a real mf vs a fake ass foo",0,"2026-05-08T19:59:32Z"
"UgzBhOhnvmoQ_e7I7XB4AaABAg","@dimetime333","Totally me",0,"2026-05-08T06:42:55Z"
"UgwwogUusmb9Ga_dUJ54AaABAg","@NotSoHFriendly","This page creeps me out because most of these videos are spot on",0,"2026-05-08T01:49:55Z"
"UgztjPKaYS_VSuzmOb54AaABAg","@THAPHENOMUBI","I get this all the time.",0,"2026-05-08T01:16:14Z"
"UgxPhAfFPUAruhU51k54AaABAg","@NTTT-JAY","Yep that’s me I think the better question is how long could I last this way and it is really the best it can be for my mental",0,"2026-05-07T17:49:45Z"
"UgxTwVV3dBGQ-0MF1yh4AaABAg","@Dacrusha1804","Everybody here is my people. May we all be lucky enough to meet others just like us! I'm 💯 all if these.",0,"2026-05-07T13:39:52Z"
"UgyD-nsK-vzjev6CQ-t4AaABAg","@grantfinlay3185","Quite a difference between intimidating others and others feeling intimidated by you.",0,"2026-05-07T08:20:52Z"
"UgyiJgioUBsdSvIyywF4AaABAg","@dylanthompson9683","Literally me at work. Just got talked to by my boss that someone at my work is intimidated by me and wants to remain anonymous. Despite  am a Christian guy, I don’t cuss, I don’t drink or partake I. Activities to get me in trouble. I like all my colleagues and would stand up for all of them but yet someone is still intimidated by me. It’s kinda upsetting because I wish this person would come forward and express why they are intimidated by me because I have no clue",0,"2026-05-06T21:42:31Z"
"UgwOFrezijdTlqTKuyd4AaABAg","@ryangray71","This video just explained so much on how my wife is. I love her so much and have known her for almost 15 years. I have always told her that the reason why people don't understand her is because they do not give her the time or space to actual know how she works, our growth between ourselves and as individuals has been challenging due to us reflecting on our past traumas and this video explains her perfectly and we both love it",0,"2026-05-06T20:51:37Z"
"UgwRnGlwLqFBoI_ORyB4AaABAg","@scrody33","This is literally the definition of adhd",0,"2026-05-06T20:28:12Z"
"UgyXbb04nHaxoXqV4uR4AaABAg","@Nahledge-yr2qp","Deep...thanks. This explains a lot on why i go through what i go through",0,"2026-05-06T03:55:12Z"
"UgyBbCHIxo3kps-D8Ud4AaABAg","@TrinhĐan-d5w","This video truly decoded my long-standing questions about why my silence sometimes makes others feel awkward. I resonated deeply with the point at [01:32]—that being comfortable in silence is often misunderstood as intimidation. It turns out that not seeking validation and not rushing to fill the silence is a form of 'quiet power.' Thank you, Lockedinangelo, for helping me realize that staying real without performing is the greatest strength. This content is incredibly empathetic and profound, giving me more confidence in my own identity!",0,"2026-05-06T02:15:55Z"
"Ugw6ZExNYeFKvRUYG2J4AaABAg","@KingofRelics","This is functional autism....Ngl",0,"2026-05-05T21:05:31Z"
"UgyqsbLtuiVk5-KJB0F4AaABAg","@kevinthorn9672","Yup thats me for sure",0,"2026-05-05T20:58:21Z"
"Ugx-8xvxF-l6cvt6NoR4AaABAg","@goministry2013","I march to my own drumbeat.  A lot of people dont like that..",0,"2026-05-05T19:32:46Z"
"UgyxwP3Bse4jagM0rEd4AaABAg","@benmadill8149","All 7",0,"2026-05-05T16:36:03Z"
"Ugw0mgXggC5u7YGqIG54AaABAg","@benmadill8149","Very very exhausting",0,"2026-05-05T16:34:56Z"
"Ugz0qxPmcr1N6Hvdbdh4AaABAg","@benmadill8149","Yeah having real relationships is hard and exhausting very very very exhausting!",0,"2026-05-05T16:34:17Z"
"UgxWGWEVWvAGN3CMtmJ4AaABAg","@darrenkairis9733","Everyone of these, all day, everyday. People hate me.",0,"2026-05-05T15:51:55Z"
"UgyoU-fpBM3ddM__Ftp4AaABAg","@a.b.8350","We call it being black #suitupheros💪🏾",0,"2026-05-05T13:38:56Z"
"UgxAiUEGrlrKmR74nEZ4AaABAg","@Backyardmech1","I get out into situations where I’m the “go to guy.” I know a lot of what’s going on, but I end up being the one who’s asking and confirming the plans. I direct where things go. It’s a lot of playing “telephone,” and can get annoying, because the ones doing the actual work are also in constant contact with the project manager. I get the “staying on the same page” with everyone involved, but it’s annoying with having the almost micromanaging level of working.",0,"2026-05-05T01:11:06Z"
"UgwN2FijG6S7IlL17YZ4AaABAg","@jimmyju76","7 signs you're doing things right 😈",0,"2026-05-04T23:42:42Z"
"UgxXX-Gz7EWEjlQSS1N4AaABAg","@cartergrant8064","Successful people with level heads are the only people who intimidate me. You mean to tell me you won  at life and your soul/sanity is still intact? Yeah, you got it buddy. 💪💪",0,"2026-05-04T14:29:11Z"
"Ugz5dyFbT15SFhblIex4AaABAg","@FluxFilesForTheWin","I’m 240 pounds muscle 6.4 feet. Sales man with 5 languages. My job is super easy as altough I’m violent as a fly, people feel like I will slap them if they don’t buy. The easiest sales I made was when I stopped selling and just showing up in person",0,"2026-05-04T12:04:45Z"
"UgwAAAIK6Ec69oxl4WR4AaABAg","@playboig4696","Im like this, but extroverted 😂😂 i just open my mouth once I notice it, which solidifies the intimidation",0,"2026-05-04T10:04:13Z"
"UgxuFAf9OVFRUhIf3J14AaABAg","@f0rzgaming283","That explains,,, a lot!",0,"2026-05-04T02:26:39Z"
"Ugy0SVO7MYrC33Dz8Q14AaABAg","@grovestreetryder1","People who dont break eye contact are not intimidating, just annoying assholes",0,"2026-05-04T02:21:50Z"
"UgwgdnE0JL2t-3o0Cq54AaABAg","@wayiamstarr","All ugh",0,"2026-05-04T01:54:33Z"
"UgzScn06WhFtrAFBhtZ4AaABAg","@stevemchale9775","Absolutely everyone and I'm uncomfortable admitting that worried I'll be considered narcissistic. I'm about to forward it to someone that knows me intimately since I was 20 and see if I'm wrong.",0,"2026-05-04T00:39:58Z"
"UgzGjwAAG132rJRGpqV4AaABAg","@Lolly_Popp","This video appeared right on time for me. 🫡 😊",0,"2026-05-03T23:47:16Z"
"UgzqaR6Rnmvvo2zDOXJ4AaABAg","@shakurkhalifah3356","And sometimes I wish I wasn't like this",0,"2026-05-03T20:25:34Z"
"UgweVUGETxwjt9VXNAd4AaABAg","@D-Mac_4_Life","This is me all the way.",0,"2026-05-03T19:29:21Z"
"Ugx6MgCJBOH6H6j5AVN4AaABAg","@Maalthe1","Definitely me",0,"2026-05-03T16:59:44Z"
"Ugxlqvdmb2DJ-NjzC6Z4AaABAg","@anthonyzepeda8389","I do. And I know it. But it's me. Take it or leave it.",0,"2026-05-03T14:56:25Z"
"UgxGN1BbqAk-Ai7JTkJ4AaABAg","@dakotaanderson4063","✋🏽✋🏽😎",0,"2026-05-03T13:42:55Z"
"UgyL9wZaQMBJrt_w-VV4AaABAg","@DreRamirez92","Another way I found out about this was people constantly avoiding eye contact and trying really hard to praise me for no reason. People talking behind my back. I stay out of other people's business but I still have my haters. I hate typing this cus I usually don't care and I hate coming off as a narcissist but this video rang true to a degree.",0,"2026-05-03T08:11:23Z"
"UgybN64QOQgvZ-LRXyh4AaABAg","@chucke2319","So an Aquarius 😂",0,"2026-05-03T07:34:40Z"
"UgwsL87d1ilWSLHIBEZ4AaABAg","@PushpaDevi-op6om","6/7, damn.",0,"2026-05-03T06:05:27Z"
"UgyBH7870QuSRpiacJV4AaABAg","@bigfam6334","This is me. People find me intimidating cuz Im quite and have a stoic face. But in reality Im just awkward and introverted. People think in my mind im just chilling. But tbh, my mind is going haywire from social anxiety and just wanna go home to isolate and play games 😂😂",0,"2026-05-03T05:57:14Z"
"UgwNCzRCceaz8C2I2pV4AaABAg","@HomelessTechGuy-y4g","Most of them are me, but I think there's 2 for me, I don't seek validation so can be in quiet room. I can say ""No""",0,"2026-05-03T05:20:27Z"
"UgxU5TgIk6FqMBLI6IJ4AaABAg","@georgebrett2263","Being an empathe is a blessing and a curse. Blessing in that, people will open up quickly so you can see where they are coming from and can process their thoughts faster than they can. But, curse for the exact same reason. You get to where you dint want to engage just observe. That in and of itself is the blessing yet the curse!!",0,"2026-05-03T05:08:27Z"
"UgzYjQNBwkETalEKOMd4AaABAg","@alexanderchalk6197","I feel all of them. The feeling alone one was bad in my youth. That one has gone away now. But all of the rest I've noticed.",0,"2026-05-03T04:19:44Z"
"Ugwh5jdDOft8nAq25_h4AaABAg","@Jeffbaci1969","Every one of them very true explains a lot thank you..",0,"2026-05-03T01:44:12Z"
