id,author,text,likeCount,publishedAt
"UgxgslIs0ojDGjQrmTd4AaABAg","@ernestb7055","You can look insecure but you're not. In order to not look insecure one must have some acting skills. Many don't have it.",0,"2026-05-07T15:51:44Z"
"Ugy6aaTSHs8oJ5NM0r94AaABAg","@jerzykiler4386","Ignoring is the ultimate and bulletproof solution. It’s exactly what humans hate the most. It destroys their weapon and ammo and leaves them powerless.  Ofc, some crazy folks will react with aggression to being ignored, but that’s extremely rare in my experience. Still, one need to consider that as a possibility.",0,"2026-05-07T13:59:19Z"
"UgxzbuNlvGw8Ac5mBvJ4AaABAg","@n8n8n8n","Plot Twist: He is your boss and he pays you a ton of money you will never earn anywhere else - ever.",0,"2026-05-07T09:50:26Z"
"UgwNPvChl8COu18twzF4AaABAg","@andreidede459","What if he’s your boss. Very easy to plan fantastic measures and reactions when he’s just another member. What if he’s your CEO and makes fun of you 😂",0,"2026-05-07T09:32:54Z"
"UgyxjdTbCLD1Q7YQqxN4AaABAg","@oldtimer2192","He who conquers himself is the mightiest warrior!",0,"2026-05-07T07:27:14Z"
"Ugz79xAXm81C29V8MzV4AaABAg","@TradesWomanRising","haha. as a woman it works really well. work on your poker face. i don't embarrass because a woman embarrassing a man in the group will blow back for years. men will never forget that. you have to go around them. let them win in the moment. this is what happened to my boss he was forced out. he kind of was stalking me to jump on me for punishment. it backfired.  he was forced out to retire. those ways don't work anymore.",0,"2026-05-07T00:01:20Z"
"UgxDmcYip4eFCMN6jsN4AaABAg","@BullmooseBeerTalks","Mate, This is really bad advice. If you do any of these, youll be the office weirdo no one wants to hang out with. Only Follow this video's advice if you want to be sad and lonely  You should start by assuming the joke is friendly banter instead of some ""red pilled"" power play. Then take the comedic momentum by showing a little humility with a related self depricating followup, and finish with a quick joke back at the person.  This is a normal social situation. People make jokes, people tease, friends make fun of each other all the time. Learn to interact socially or be stressed and angry all the time.",0,"2026-05-06T22:55:21Z"
"Ugy8eb2QlGr7BdsYve54AaABAg","@destyspot","thumbs down the monent the AI voice showed up",0,"2026-05-06T21:58:43Z"
"Ugz-DCQglmVlIYacUGd4AaABAg","@tensaantares","Imagine not being a Beta and being able to take a joke without pretending to be stoic or using psychological ""tricks""?! You know, ""head game""...pause. Here's a silly notion, what if the jokes are actually funny but then you ""be that guy"" and you react ""emotionless"" asking rhetorical questions which literally only comes across as serious, doesn't THAT give more weight to the person making the joke?! Isn't the whole point to do the total opposite?! The best reaction?! No reaction! But that's boring and requires actual psychological understanding or stoicism so obviously you can't do that.",0,"2026-05-06T04:34:02Z"
"UgyrM-d7OLy6iDqRA1x4AaABAg","@Maciej.Bebłowski","Of course I won't react 🙃",0,"2026-05-05T19:37:45Z"
